Z =1.1329029
norm_productive =0.2563453829560096
likelihood_train,likelihood_test
-0.89841574,-0.8973569
-0.89849156,-0.896522
-0.8984464,-0.89496076
-0.89843696,-0.8988895
-0.89834243,-0.8986007
-0.89854395,-0.897458
-0.8986143,-0.8973064
-0.8985091,-0.89755493
-0.8986263,-0.89497024
-0.89855415,-0.8967923
-0.89851075,-0.8959525
-0.8986754,-0.8977064
-0.8985932,-0.89769506
-0.8986547,-0.89900637
-0.89865804,-0.8972107
-0.8985995,-0.89759314
-0.8987633,-0.8976531
-0.89868575,-0.8981162
-0.8987037,-0.8972746
-0.89877164,-0.89779085
-0.8987247,-0.8982138
-0.8987253,-0.8962602
-0.89883906,-0.89758486
-0.89876986,-0.89634377
-0.89877117,-0.8977865
-0.89876574,-0.89779043
-0.8988647,-0.8964032
-0.89871657,-0.8990612
-0.89878696,-0.8979671
-0.8988919,-0.89674246
-0.89880115,-0.8975084
-0.8989381,-0.8956524
-0.89889556,-0.8981263
-0.8989351,-0.89792687
-0.8988737,-0.89810026
-0.89898914,-0.89696616
-0.8989658,-0.897025
-0.8989282,-0.89685273
-0.8988714,-0.8971978
-0.89897794,-0.8934071
-0.89903206,-0.89697784
-0.8990105,-0.89833945
-0.8990769,-0.89665735
-0.8989658,-0.89804476
-0.8990843,-0.897373
-0.8990623,-0.89815515
-0.8990611,-0.8976966
-0.8990155,-0.8974041
-0.8990602,-0.8937409
-0.8991335,-0.8962222
-0.8990954,-0.89793223
-0.8992492,-0.8969711
-0.8990387,-0.89688957
-0.8990513,-0.8981501
-0.8990611,-0.896737
-0.8992059,-0.89679796
-0.8991432,-0.89607084
-0.899093,-0.89891374
-0.8991464,-0.8985415
-0.899188,-0.89587766
